;Nom_Oferta;Empresa;Ubicació;Temps_Oferta;Horari
79;YT Recruitment 2022 (Financieros, Data Analyst y Project Manager);Banco Sabadell;Barcelona y alrededores;hace 1 día;Jornada completa · Sin experiencia
80;Data Analyst (m|f|d) at Dein Traumjob wartet!;join.com;Barcelona, Cataluña, España;hace 1 día;Jornada completa · Sin experiencia
81;Data Engineer;Pronovias;Barcelona, Cataluña, España;hace 2 horas;Jornada completa · Sin experiencia
82;Data Analyst - Scheduling (They/She/He);Glovo;Barcelona, Cataluña, España;hace 1 semana;Jornada completa · Sin experiencia
83;Game Data Analyst;Socialpoint;Barcelona, Cataluña, España;hace 2 semanas;Jornada completa · Sin experiencia
84;Desarrollador Big Data (Girona);Accenture España;Barcelona, Cataluña, España;hace 3 días;Jornada completa · Intermedio
85;Incubation Senior Finance & Data Analyst;HP;Sant Cugat del Vallès, Cataluña, España;hace 1 mes;Jornada completa
86;GO! Graduate IT & Data Analysis;Essity;Barcelona, Cataluña, España;hace 1 día;Jornada completa
87;Data Analyst - A/B testing;eDreams ODIGEO;Barcelona, Cataluña, España;hace 1 semana;Jornada completa · Sin experiencia
88;Master Data Analyst;Tech Data;Barcelona, Cataluña, España;hace 2 semanas;Jornada completa
89;Data Engineer (They/He/She);Adsmurai;Barcelona, Cataluña, España;hace 1 día;Jornada completa · Intermedio
90;Senior Quantitative Analyst;Adecco;Barcelona, Cataluña, España;hace 2 semanas;Jornada completa · Algo de responsabilidad
91;Finance Data Analyst (They/She/He);Glovo;Barcelona, Cataluña, España;hace 3 semanas;Jornada completa · Sin experiencia
92;Data analyst - Food Solutions (They/She/He);Glovo;Barcelona, Cataluña, España;hace 2 semanas;Jornada completa · Sin experiencia
93;Data Analyst - Qcommerce - Sales;Glovo;Barcelona, Cataluña, España;hace 4 semanas;Jornada completa · Sin experiencia
94;Data Engineer;Sanofi;Barcelona, Cataluña, España;hace 1 mes;Jornada completa · Intermedio
95;Mid / Senior Data Analyst - Central Data team;Factorial HR;Barcelona, Cataluña, España;hace 2 días;Jornada completa · Algo de responsabilidad
96;Data & Insights Analyst;Nestlé Nespresso SA;Esplugues de Llobregat, Cataluña, España;hace 1 semana;Jornada completa
97;Data Analyst;Newrest;Barcelona, Cataluña, España;hace 3 semanas;Jornada completa · Intermedio
98;Senior Data Analyst;Veepee;Barcelona, Cataluña, España;hace 2 semanas;Jornada completa · Intermedio
